,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_contract_valid_until,nationality_name,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_flag_url
48,162835,https://sofifa.com/player/162835/samir-handanovic/220002,S. Handanovič,Samir Handanovič,GK,86,86,7500000.0,78000.0,36,1984-07-14,193,92,44.0,Inter,Italian Serie A,1.0,GK,1.0,2022.0,Slovenia,Right,3,1,3,Medium/Medium,Unique,Yes,,,,,,,12,10,10,42,12,18,20,14,40,21,45,50,47,79,36,49,78,41,69,19,25,22,12,41,23,69,25,10,13,81,81,65,92,87,47.0,30+3,30+3,30+3,29,31,31,31,29,33+3,33+3,33+3,31+3,34+3,34+3,34+3,31+3,30+3,33+3,33+3,33+3,30+3,29+3,29+3,29+3,29+3,29+3,84+2,https://cdn.sofifa.net/players/162/835/22_120.png,https://cdn.sofifa.net/teams/44/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/si.png
54,192984,https://sofifa.com/player/192984/koen-casteels/220002,K. Casteels,Koen Casteels,GK,86,87,52000000.0,88000.0,29,1992-06-25,197,86,175.0,VfL Wolfsburg,German 1. Bundesliga,1.0,GK,1.0,2024.0,Belgium,Left,2,1,3,Medium/Medium,Normal (185+),Yes,,,,,,,15,15,14,35,13,14,20,13,37,23,44,46,50,83,43,60,58,44,72,18,33,16,15,42,20,40,11,19,17,85,83,80,84,87,45.0,32+3,32+3,32+3,29,31,31,31,29,32+3,32+3,32+3,31+3,33+3,33+3,33+3,31+3,29+3,32+3,32+3,32+3,29+3,29+3,29+3,29+3,29+3,29+3,84+3,https://cdn.sofifa.net/players/192/984/22_120.png,https://cdn.sofifa.net/teams/175/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/be.png
70,163587,https://sofifa.com/player/163587/kasper-schmeichel/220002,K. Schmeichel,Kasper Peter Schmeichel,GK,85,85,9000000.0,115000.0,34,1986-11-05,189,89,95.0,Leicester City,English Premier League,1.0,GK,1.0,2023.0,Denmark,Right,3,1,2,Medium/Medium,Stocky (185+),Yes,,,,,,,18,12,16,44,15,12,13,15,46,40,45,51,61,82,47,60,60,34,64,14,35,20,13,59,26,67,14,14,13,84,78,80,83,90,47.0,33+2,33+2,33+2,33,35,35,35,33,38+2,38+2,38+2,35+2,39+2,39+2,39+2,35+2,31+2,36+2,36+2,36+2,31+2,30+2,29+2,29+2,29+2,30+2,83+2,https://cdn.sofifa.net/players/163/587/22_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/dk.png
73,177683,https://sofifa.com/player/177683/yann-sommer/220002,Y. Sommer,Yann Sommer,GK,85,85,26500000.0,40000.0,32,1988-12-17,183,79,23.0,Borussia Mönchengladbach,German 1. Bundesliga,1.0,GK,1.0,2023.0,Switzerland,Right,4,1,3,Medium/Medium,Normal (170-185),Yes,,,,,,,13,13,10,40,8,15,12,13,31,25,48,54,55,82,58,63,73,45,68,12,38,21,15,64,24,57,9,19,12,79,81,84,86,86,50.0,32+3,32+3,32+3,32,34,34,34,32,36+3,36+3,36+3,34+3,37+3,37+3,37+3,34+3,30+3,33+3,33+3,33+3,30+3,29+3,29+3,29+3,29+3,29+3,83+2,https://cdn.sofifa.net/players/177/683/22_120.png,https://cdn.sofifa.net/teams/23/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/ch.png
77,185122,https://sofifa.com/player/185122/peter-gulacsi/220002,P. Gulácsi,Péter Gulácsi,GK,85,85,28500000.0,87000.0,31,1990-05-06,191,86,112172.0,RB Leipzig,German 1. Bundesliga,1.0,GK,1.0,2025.0,Hungary,Right,2,1,3,Medium/Medium,Normal (185+),Yes,,,,,,,16,10,23,35,10,19,18,11,31,25,42,44,41,81,42,57,67,35,74,12,34,23,11,44,24,45,25,16,20,85,84,76,82,86,43.0,31+3,31+3,31+3,29,31,31,31,29,31+3,31+3,31+3,31+3,32+3,32+3,32+3,31+3,30+3,33+3,33+3,33+3,30+3,30+3,33+3,33+3,33+3,30+3,83+2,https://cdn.sofifa.net/players/185/122/22_120.png,https://cdn.sofifa.net/teams/112172/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/hu.png
106,193080,https://sofifa.com/player/193080/david-de-gea-quintana/220002,De Gea,David De Gea Quintana,GK,84,84,28000000.0,120000.0,30,1990-11-07,192,82,11.0,Manchester United,English Premier League,1.0,GK,1.0,2023.0,Spain,Right,3,1,4,Medium/Medium,Unique,Yes,,,,,,,17,13,21,48,13,18,21,19,43,38,57,58,63,83,43,57,67,43,55,12,38,30,12,61,29,63,25,21,13,86,79,76,79,87,57.0,34+3,34+3,34+3,36,37,37,37,36,40+3,40+3,40+3,38+3,41+3,41+3,41+3,38+3,36+3,39+3,39+3,39+3,36+3,35+3,34+3,34+3,34+3,35+3,82+2,https://cdn.sofifa.net/players/193/080/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/es.png
113,202811,https://sofifa.com/player/202811/emiliano-martinez/220002,E. Martínez,Damián Emiliano Martínez,GK,84,85,33500000.0,81000.0,28,1992-09-02,195,88,2.0,Aston Villa,English Premier League,1.0,GK,1.0,2024.0,Argentina,Right,4,1,3,Medium/Medium,Stocky (185+),Yes,,,,,,,22,16,26,50,13,13,22,20,51,35,59,57,49,80,49,62,60,40,70,16,37,13,12,66,42,60,11,20,20,85,83,82,83,85,58.0,36+3,36+3,36+3,35,37,37,37,35,40+3,40+3,40+3,38+3,42+3,42+3,42+3,38+3,33+3,37+3,37+3,37+3,33+3,33+3,32+3,32+3,32+3,33+3,83+2,https://cdn.sofifa.net/players/202/811/22_120.png,https://cdn.sofifa.net/teams/2/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/ar.png
127,215698,https://sofifa.com/player/215698/mike-maignan/220002,M. Maignan,Mike Maignan,GK,84,89,49500000.0,45000.0,25,1995-07-03,191,89,47.0,AC Milan,Italian Serie A,1.0,GK,16.0,2026.0,France,Right,4,1,2,Medium/Medium,Normal (185+),No,,,,,,,18,15,17,55,16,32,28,16,46,40,49,51,39,82,55,64,74,39,78,20,30,25,15,60,15,65,23,16,19,83,81,85,84,86,50.0,38+2,38+2,38+2,38,41,41,41,38,43+2,43+2,43+2,41+2,44+2,44+2,44+2,41+2,36+2,40+2,40+2,40+2,36+2,34+2,34+2,34+2,34+2,34+2,83+2,https://cdn.sofifa.net/players/215/698/22_120.png,https://cdn.sofifa.net/teams/47/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/fr.png
143,178750,https://sofifa.com/player/178750/sergio-asenjo-andres/220002,Sergio Asenjo,Sergio Asenjo Andrés,GK,83,83,18000000.0,37000.0,32,1989-06-28,189,87,483.0,Villarreal CF,Spain Primera Division,1.0,SUB,1.0,2022.0,Spain,Right,3,1,2,Medium/Medium,Stocky (185+),No,,,,,,,24,14,13,39,15,15,23,22,39,14,59,54,62,80,58,59,73,41,73,13,20,22,12,46,15,64,24,15,14,85,83,78,81,83,57.0,31+2,31+2,31+2,31,31,31,31,31,32+2,32+2,32+2,33+2,33+2,33+2,33+2,33+2,32+2,32+2,32+2,32+2,32+2,31+2,30+2,30+2,30+2,31+2,82+1,https://cdn.sofifa.net/players/178/750/22_120.png,https://cdn.sofifa.net/teams/483/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/es.png
152,190941,https://sofifa.com/player/190941/lukas-hradecky/220002,L. Hrádecký,Lukáš Hrádecký,GK,83,83,19000000.0,55000.0,31,1989-11-24,192,83,32.0,Bayer 04 Leverkusen,German 1. Bundesliga,1.0,GK,1.0,2023.0,Finland,Right,3,1,3,Medium/Medium,Lean (185+),Yes,,,,,,,11,11,11,30,9,10,11,15,33,20,38,44,43,82,39,52,69,34,55,14,31,18,9,53,20,48,10,10,13,85,78,69,83,87,40.0,27+3,27+3,27+3,26,29,29,29,26,30+3,30+3,30+3,28+3,31+3,31+3,31+3,28+3,26+3,28+3,28+3,28+3,26+3,25+3,25+3,25+3,25+3,25+3,82+1,https://cdn.sofifa.net/players/190/941/22_120.png,https://cdn.sofifa.net/teams/32/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/fi.png
154,192563,https://sofifa.com/player/192563/bernd-leno/220002,B. Leno,Bernd Leno,GK,83,84,28000000.0,87000.0,29,1992-03-04,190,83,1.0,Arsenal,English Premier League,1.0,GK,1.0,2023.0,Germany,Right,3,1,3,Medium/Medium,Normal (185+),Yes,,,,,,,9,9,13,50,10,16,9,8,48,35,55,56,52,78,44,57,73,43,70,14,28,25,7,56,23,62,27,15,18,85,80,76,83,85,55.0,32+3,32+3,32+3,32,35,35,35,32,38+3,38+3,38+3,36+3,40+3,40+3,40+3,36+3,34+3,38+3,38+3,38+3,34+3,33+3,33+3,33+3,33+3,33+3,82+2,https://cdn.sofifa.net/players/192/563/22_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/de.png
167,203841,https://sofifa.com/player/203841/nick-pope/220002,N. Pope,Nick Pope,GK,83,83,25000000.0,45000.0,29,1992-04-19,199,76,1796.0,Burnley,English Premier League,1.0,GK,1.0,2023.0,England,Right,3,1,1,Medium/Medium,Lean (185+),Yes,,,,,,,11,14,11,32,14,15,13,12,35,24,50,47,36,78,42,56,72,37,75,15,36,21,13,45,22,63,14,15,14,81,83,75,83,84,49.0,31+2,31+2,31+2,28,31,31,31,28,31+2,31+2,31+2,30+2,32+2,32+2,32+2,30+2,28+2,31+2,31+2,31+2,28+2,28+2,29+2,29+2,29+2,28+2,82+1,https://cdn.sofifa.net/players/203/841/22_120.png,https://cdn.sofifa.net/teams/1796/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/gb-eng.png
169,204935,https://sofifa.com/player/204935/jordan-pickford/220002,J. Pickford,Jordan Pickford,GK,83,85,33000000.0,83000.0,27,1994-03-07,185,77,7.0,Everton,English Premier League,1.0,GK,1.0,2024.0,England,Left,4,1,3,Medium/Medium,Normal (185+),Yes,,,,,,,17,19,15,55,20,14,18,16,56,40,53,44,55,80,55,65,77,45,70,13,45,24,18,69,45,65,21,20,12,83,78,87,80,86,49.0,37+3,37+3,37+3,36,39,39,39,36,43+3,43+3,43+3,39+3,45+3,45+3,45+3,39+3,34+3,42+3,42+3,42+3,34+3,33+3,34+3,34+3,34+3,33+3,82+3,https://cdn.sofifa.net/players/204/935/22_120.png,https://cdn.sofifa.net/teams/7/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/gb-eng.png
194,234642,https://sofifa.com/player/234642/edouard-mendy/220002,É. Mendy,Édouard Mendy,GK,83,85,30000000.0,105000.0,29,1992-03-01,197,86,5.0,Chelsea,English Premier League,1.0,GK,16.0,2025.0,Senegal,Right,2,1,2,Medium/Medium,Lean (185+),Yes,,,,,,,10,5,10,39,9,13,13,14,46,31,36,33,48,80,27,59,39,35,72,9,22,13,6,44,13,57,10,11,13,83,82,78,81,84,35.0,28+2,28+2,28+2,26,29,29,29,26,31+2,31+2,31+2,29+2,34+2,34+2,34+2,29+2,26+2,31+2,31+2,31+2,26+2,25+2,25+2,25+2,25+2,25+2,82+2,https://cdn.sofifa.net/players/234/642/22_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/sn.png
201,164835,https://sofifa.com/player/164835/lukasz-fabianski/220002,Ł. Fabiański,Łukasz Fabiański,GK,82,82,3400000.0,43000.0,36,1985-04-18,190,83,19.0,West Ham United,English Premier League,1.0,GK,1.0,2022.0,Poland,Right,2,1,2,Medium/Medium,Normal (185+),Yes,,,,,,,14,13,11,20,17,14,18,12,32,22,50,47,53,75,44,53,69,25,65,20,43,16,15,52,22,63,14,12,13,82,82,71,83,82,49.0,29+2,29+2,29+2,28,30,30,30,28,30+2,30+2,30+2,29+2,29+2,29+2,29+2,29+2,25+2,27+2,27+2,27+2,25+2,25+2,27+2,27+2,27+2,25+2,81+1,https://cdn.sofifa.net/players/164/835/22_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/pl.png
202,168435,https://sofifa.com/player/168435/salvatore-sirigu/220002,S. Sirigu,Salvatore Sirigu,GK,82,82,5000000.0,20000.0,34,1987-01-12,192,85,110556.0,Genoa,Italian Serie A,1.0,GK,57.0,2022.0,Italy,Right,2,1,3,Medium/Medium,Normal (185+),Yes,,,,,,,13,10,11,23,12,15,11,11,28,18,46,46,52,78,55,57,68,34,66,14,34,20,10,55,19,62,14,11,13,82,77,76,84,80,46.0,28+3,28+3,28+3,27,29,29,29,27,30+3,30+3,30+3,28+3,29+3,29+3,29+3,28+3,26+3,28+3,28+3,28+3,26+3,26+3,27+3,27+3,27+3,26+3,80+2,https://cdn.sofifa.net/players/168/435/22_120.png,https://cdn.sofifa.net/teams/110556/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/it.png
205,178005,https://sofifa.com/player/178005/rui-pedro-dos-santos-patricio/220002,Rui Patrício,Rui Pedro dos Santos Patrício,GK,82,82,10000000.0,51000.0,33,1988-02-15,190,84,52.0,Roma,Italian Serie A,1.0,GK,1.0,2024.0,Portugal,Left,2,1,3,Medium/Medium,Normal (185+),Yes,,,,,,,12,12,11,34,16,20,10,16,32,25,53,57,61,76,54,58,79,45,77,11,37,23,13,64,32,66,14,13,11,82,80,77,80,83,55.0,32+3,32+3,32+3,32,34,34,34,32,36+3,36+3,36+3,34+3,35+3,35+3,35+3,34+3,30+3,33+3,33+3,33+3,30+3,29+3,30+3,30+3,30+3,29+3,80+2,https://cdn.sofifa.net/players/178/005/22_120.png,https://cdn.sofifa.net/teams/52/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/pt.png
211,188943,https://sofifa.com/player/188943/kevin-trapp/220002,K. Trapp,Kevin Trapp,GK,82,82,20500000.0,31000.0,30,1990-07-08,189,88,1824.0,Eintracht Frankfurt,German 1. Bundesliga,1.0,GK,1.0,2024.0,Germany,Right,4,1,3,Medium/Medium,Normal (185+),Yes,,,,,,,13,13,11,25,12,10,14,12,12,24,45,52,42,82,37,59,75,45,73,13,30,22,12,46,17,62,15,14,10,82,78,79,82,84,48.0,30+3,30+3,30+3,27,30,30,30,27,29+3,29+3,29+3,28+3,28+3,28+3,28+3,28+3,28+3,28+3,28+3,28+3,28+3,28+3,28+3,28+3,28+3,28+3,81+1,https://cdn.sofifa.net/players/188/943/22_120.png,https://cdn.sofifa.net/teams/1824/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/de.png
216,193105,https://sofifa.com/player/193105/alphonse-areola/220002,A. Areola,Alphonse Areola,GK,82,84,26000000.0,75000.0,28,1993-02-27,195,94,19.0,West Ham United,English Premier League,1.0,SUB,13.0,2022.0,France,Right,3,1,2,Medium/Medium,Unique,Yes,,,,,,,20,19,14,48,16,15,16,16,37,22,56,54,58,78,58,57,72,38,80,14,26,23,17,51,25,64,13,18,12,85,79,76,80,85,55.0,34+2,34+2,34+2,33,34,34,34,33,36+2,36+2,36+2,35+2,36+2,36+2,36+2,35+2,32+2,34+2,34+2,34+2,32+2,31+2,31+2,31+2,31+2,31+2,81+2,https://cdn.sofifa.net/players/193/105/22_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/fr.png
221,193698,https://sofifa.com/player/193698/oliver-baumann/220002,O. Baumann,Oliver Baumann,GK,82,82,16000000.0,37000.0,31,1990-06-02,187,82,10029.0,TSG Hoffenheim,German 1. Bundesliga,1.0,GK,1.0,2023.0,Germany,Right,1,1,2,Medium/Medium,Normal (185+),Yes,,,,,,,14,11,16,30,11,19,12,11,25,17,47,51,45,82,43,59,73,39,69,13,32,21,10,41,22,52,15,18,14,81,80,79,79,82,49.0,30+2,30+2,30+2,28,30,30,30,28,29+2,29+2,29+2,29+2,30+2,30+2,30+2,29+2,29+2,30+2,30+2,30+2,29+2,28+2,30+2,30+2,30+2,28+2,81+1,https://cdn.sofifa.net/players/193/698/22_120.png,https://cdn.sofifa.net/teams/10029/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/de.png
222,194404,https://sofifa.com/player/194404/norberto-murara-neto/220002,Neto,Norberto Murara Neto,GK,82,82,16000000.0,115000.0,31,1989-07-19,190,84,241.0,FC Barcelona,Spain Primera Division,1.0,SUB,13.0,2023.0,Brazil,Right,2,1,2,Medium/Medium,Lean (185+),Yes,,,,,,,11,15,14,36,12,19,12,13,41,24,56,52,59,78,49,59,83,41,63,20,40,15,11,42,22,64,17,14,15,83,79,78,79,81,54.0,32+2,32+2,32+2,31,32,32,32,31,33+2,33+2,33+2,32+2,34+2,34+2,34+2,32+2,29+2,32+2,32+2,32+2,29+2,29+2,29+2,29+2,29+2,29+2,80+2,https://cdn.sofifa.net/players/194/404/22_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/br.png
